"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"2";"10K";"10KΩ_SMD-0402_1/16W-5%";"RESC1005X35_SMD-0402";"R1, R2";"";"http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_51_RoHS_P_0.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=YAG1281CT-ND";"YAG1281CT-ND";"Yageo";"RC0402JR-0710KP";"10K";
"2";"PTH VERT MALE";"1X03_PTH_VERT_MALE_2.54MM";"HDRV3W64P254_1X3_762X254X838B";"J1, J2";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC03SAAN/859156?s=N4IgTCBcDaIMoEYAMCwFEC0SDMGByAIiALoC%2BQA";"S1012E-03-ND";"Sullins Connector Solutions";"PEC03SAAN";"PTH VERT MALE";
"1";"SI1133-AA00-GMR";"SI1133";"QFN50P200X200X75-10N";"U1";"SENSOR OPT 625NM/525NM AMB 10DFN";"https://www.silabs.com/documents/public/data-sheets/Si1133.pdf";"Digikey";"https://www.digikey.com/en/products/detail/silicon-labs/SI1133-AA00-GMR/5725927?s=N4IgTCBcDaIMxwGwFo4BYDsHkEZkDkAREAXQF8g";"336-3477-1-ND";"Silicon Labs";"SI1133-AA00-GMR";"SI1133-AA00-GMR";
